Likes,hashtag,Sentiment
3608,politics,Neutral
711,politics,Negative
827,politics,Negative
629,politics,Negative
581,politics,Negative
2754,politics,Negative
633,politics,Negative
3218,politics,Negative
448,politics,Negative
501,politics,Negative
241,politics,Negative
247,politics,Neutral
221,politics,Negative
404,politics,Negative
5438,politics,Positive
300,politics,Negative
368,politics,Negative
487,politics,Negative
443,politics,Positive
895,politics,Neutral
388,politics,Neutral
2885,entertainment,Positive
6406,entertainment,Positive
230,entertainment,Negative
310,entertainment,Negative
229,entertainment,Positive
757,entertainment,Positive
1035,entertainment,Positive
762,entertainment,Negative
5603,entertainment,Neutral
396,entertainment,Neutral
305,entertainment,Neutral
602,entertainment,Positive
279,entertainment,Positive
8631,entertainment,Neutral
2081,entertainment,Neutral
338,entertainment,Positive
680,entertainment,Negative
272,entertainment,Negative
519,entertainment,Positive
3329,entertainment,Positive
2152,entertainment,Positive
509,entertainment,Negative
277,entertainment,Neutral
1941,entertainment,Positive
411,entertainment,Negative
1601,entertainment,Neutral
326,entertainment,Negative
329,entertainment,Negative
1265,technology,Neutral
528,technology,Positive
2542,technology,Negative
292,technology,Positive
637,technology,Neutral
933,technology,Positive
278,technology,Positive
590,technology,Negative
228,technology,Neutral
241,technology,Positive
273,technology,Positive
337,technology,Neutral
598,technology,Negative
255,technology,Positive
1320,technology,Positive
445,technology,Neutral
509,technology,Neutral
1417,technology,Positive
205,technology,Neutral
4518,technology,Positive
223,technology,Negative
4266,technology,Positive
588,technology,Positive
277,technology,Positive
226,technology,Negative
759,sports,Neutral
695,sports,Neutral
214,sports,Positive
2133,sports,Neutral
544,sports,Neutral
257,sports,Positive
812,sports,Neutral
285,sports,Neutral
299,sports,Positive
1115,sports,Neutral
3780,sports,Neutral
994,sports,Positive
234,sports,Positive
896,sports,Positive
8401,sports,Positive
638,sports,Neutral
516,sports,Neutral
254,sports,Neutral
643,sports,Positive
381,sports,Negative
237,sports,Neutral
393,sports,Negative
