Date,Tweet,Likes
2025-03-15,The best beginning and ending of one of the most iconic eras of pop,2885
2025-03-15,Wow. You could watch “A Star is Born” and then walk into the next theater and see “On the Waterfront”  What a time to be alive!,6406
2025-03-15,,570
2025-03-15,,570
2025-03-15,,351
2025-03-15,"Here's the counter argument.

The kid playing with an X-Wing space ship toy doesn't care. His space ship toy goes in the sci-fi box. My mother in law that claims to not like sci-fi puts Star Wars in the sci-fi box. My 90 year old grandparents also put Star Wars.

The reason being",230
2025-03-15,"Some are still in doubt about MIV so we tried to summarize

MIV keyword: tag @ BRAND # hashtag BRAND, artist, pfw hashtags 

MIV categorizes contributors into five distinct Voices:

Media: consists of media outlets and publications like Vogue and Elle. Traditional media is no",310
2025-03-15,"Hollywood doesn’t know how to market them. 

But it also seems like television is scratching this itch for a lot of people.",229
2025-03-15,"- 0/80

Excellent Night Shows for Court, Negative share for Dilruba on the",757
2025-03-15,"Percy Jackson season 3, Reeve Carney and Eva Noblezada engaged, Maybe Happy Ending album released, Toothless meet and greet photos. Big 24 hours for news specifically for me",1035
2025-03-15,,1390
2025-03-15,,207
2025-03-15,"The K-pop industry is on the brink of transformation.

What HYBE, Source Music, Belift Lab, and the old guard fear the most is about to unfold.

The deeply entrenched toxic culture and the extreme imbalance of power will crumble, paving the way for artists and creatives to",762
2025-03-15,the whole kpop industry is gonna be here,5603
2025-03-15,,354
2025-03-15,…,396
2025-03-15,,329
2025-03-15,…,305
2025-03-15,I feel like the only shows that has respected and honoured her as a musician is b99 and new girl,602
2025-03-15,I love when Bollywood actors start getting patriotic and philosophical when their new movie is about to release on TV interviews. And I love the fact the TV channels that bash Bollywood give space to the Bollywood actors. Such is the comedy of our times.,279
2025-03-15,http://,8631
2025-03-15,7. You can check out the full study here:,2081
2025-03-15,Is all of entertainment now some kind of feminist support group?,338
2025-03-15,"I knew Hollywood was a cesspool of depraved lunatics but the more I look into it, the more it seems that nothing in Hollywood is even real. 

It seems to be an incredibly large CIA operation used to manipulate the entire world.",680
2025-03-15,"ttpd:
1 real music video
barely any promo
no interviews or public appearances
ES:
incoming deluxe
3 music videos
public appearances and promo
lead single before album drop
ariana in wicked
oscar nomination hype
ariana constantly active and posting",272
2025-03-15,Follow us for more updates about your favorite artists!,519
2025-03-15,Is all of entertainment now some kind of feminist support group?,338
2025-03-15,"I knew Hollywood was a cesspool of depraved lunatics but the more I look into it, the more it seems that nothing in Hollywood is even real. 

It seems to be an incredibly large CIA operation used to manipulate the entire world.",680
2025-03-15,"ttpd:
1 real music video
barely any promo
no interviews or public appearances
ES:
incoming deluxe
3 music videos
public appearances and promo
lead single before album drop
ariana in wicked
oscar nomination hype
ariana constantly active and posting",272
2025-03-15,Follow us for more updates about your favorite artists!,519
2025-03-15,"I genuinely hate that kids now don’t have cheap ass experiences catered to them having fun. They don’t have clothing stores for tweens, music artists, the shows not hitting. We reverted back to kids not being considered so fast",3329
2025-03-15,I complete four years in film journalism today and this interview is the best work anniversary gift I could have asked for. Can’t wait to share,2152
2025-03-15,Channel 4 Go Back To Where You Came From dropped amid backlash over divisive migrant ‘propaganda’ programme,509
2025-03-15,[1/4],277
2025-03-15,THE WHOLE TOP 3 BEING THE MUSIC INDUSTRY !!!!! WHO IS DOING IT LIKE HER ?!!?!,1941
2025-03-15,Men who wanted to be writers or any kind of creative but never did it get so weirdly competitive with women who are in that field. Especially if you’re a WOC.,411
2025-03-15,,399
2025-03-15,…,1601
2025-03-15,,316
2025-03-15,"It's funny that a lot of my followers hate that I keep discussing this, but it's a teachable moment. You're watching a culture industry built on lies consume itself in real time.",326
2025-03-15,"It's funny that a lot of my followers hate that I keep discussing this, but it's a teachable moment. You're watching a culture industry built on lies consume itself in real time.",326
2025-03-15,"I’m not ashamed to admit that I grew up watching Generations, Scandal, Muvhango, and Rhythm City.",329
2025-03-15,"It's funny that a lot of my followers hate that I keep discussing this, but it's a teachable moment. You're watching a culture industry built on lies consume itself in real time.",326
2025-03-15,"I’m not ashamed to admit that I grew up watching Generations, Scandal, Muvhango, and Rhythm City.",329
