Date,Tweet,Likes
2025-03-15,,330
2025-03-15,!,3608
2025-03-15,"I’m going to leave this here, just as an illustration of what happens if you go on the road to meet voters where they are. Putting aside politics IS the way forward. I doesn’t matter what party you support, the problems people face are the same.

Democrats have lost the ability",711
2025-03-15,"I’m going to leave this here, just as an illustration of what happens if you go on the road to meet voters where they are. Putting aside politics IS the way forward. I doesn’t matter what party you support, the problems people face are the same.

Democrats have lost the ability",711
2025-03-15,"Minorities can't walk the streets without fear that they'll be picked up by ICE. Career scientists and researchers see their work being destroyed as pandemics loom. Prices are rising, 401K's are decreasing. Social Security will be taken over by robber barons. And the POTUS wants",827
2025-03-15,"Multiple generations fought to protect national sovereignty, only to be undermined by mass, unvetted, illegal migration enabled by puppet corrupt politicians and unelected bureaucrats.",629
2025-03-15,"I don't think some  people understand the dangerous territory the US has entered. 
Disbanding government departments. 
Calling news media illegal. 
Threatening to lock up people for protesting.
Protecting oligarchs like Muskolino.
Sending people to Guatenamo base.
Open your eyes",581
2025-03-15,"Western Australia's state election has been described as a ""threat to democracy"" amid calls for a probe into why staffing and vote-counting was outsourced to a foreign company that has donated $67,500 to Labor.",2754
2025-03-15,"Diversity, equity and inclusion, climate and gender ideology, has been heavily funded for far too long. Cut the funding off and the whole agenda will die a death!",633
2025-03-15,The Telegraph says postponing local elections was a cynical move and voters should not have had their vote delayed.,3218
2025-03-15,Trump hijacks a DOJ presser and threatens the media. Schumer surrenders as Dem backlash grows. And much more. Catch up now:,448
2025-03-15,"10/ That US now wants to abandon the promotion of democracy and factual reporting tells us that it is no longer interested in democracy and factual reporting. Unfortunately, it's a very clear sign of which direction the US is now rapidly heading. /end",501
2025-03-15,"Just look at this whole mess.

It’s insane that in this country, some people with badly twisted heads feel it is a crime to speak against corruption and incompetence as a young person who is the victim of lunatics in government.

Just imagine this madness.",241
2025-03-15,"GD’s one-party parliament has gutted parliamentary oversight and excluded NGOs from any meaningful participation in policymaking. 
Civil society is being systematically dismantled, mirroring Russia’s crackdown on dissent.
11/24",247
2025-03-15,"Carney is dragging the Liberal Party towards the centre, as he robs",221
2025-03-15,"People get mad when you point this out, but it’s true.

You can’t cite approval glowingly for months and then call it fake when the same polling average goes negative. 

The current economic messaging is bad. It’s not working. Even if you think the policies are good.",404
2025-03-15,When you are silenced and cancelled because of who you support politically Freedom of Speech and Democracy is at stake.,5438
2025-03-15,"So much debate on Festivals and Languages…. 
No Debate on Unemployment/ Economic Growth/ Slowdown in economy / Crashing markets / US bullying India …. 

We have lost the track as a country",300
2025-03-15,'She's a disaster!' Rachel Reeves torn apart in blistering rant over 'dangerous' economic policies: 'She has to go',368
2025-03-15,"The India Story

A Crime accused gives interviews to the Press in the presence of the Police.  Trying to influence the case through interviews.  

𝐎𝐧 𝐭𝐡𝐞 𝐎𝐭𝐡𝐞𝐫 𝐇𝐚𝐧𝐝, the Prime Minister of India has not faced the Press even once in the last 11 years.",487
2025-03-15,"The 2027 election will be centered around trust issues.

Everyone will suspect each other. From political parties, to politicians, to candidates, to party members, to INEC. 
There will be no trust.
You will see betrayals &amp; counter betrayals as never before. 

Info will be key",443
2025-03-15,https://,895
2025-03-15,"Rule of thumb: Anything you see from the opposition affiliated bot farm called Ghana Today, Just know it’s fake.

I honestly do not understand the strategy of some elements within the minority opposition who believe that the way to survive opposition is to turn their sights on",388
2025-03-15,https://,895
2025-03-15,"Rule of thumb: Anything you see from the opposition affiliated bot farm called Ghana Today, Just know it’s fake.

I honestly do not understand the strategy of some elements within the minority opposition who believe that the way to survive opposition is to turn their sights on",388
