Date,Tweet,Likes
2025-03-15,"through sports,",759
2025-03-15,,367
2025-03-15,Head to Matchday Live for live coverage from around the grounds,695
2025-03-15,,160
2025-03-15,,342
2025-03-15,"With this domestic model, we are having a bigger pool, competition in regions will make club, college, District cricket more competitive

8 competitive events including Dept., Reg, Champ Cups are more responsible for players development than PSL franchises",214
2025-03-15,Full-Time: An afternoon full of goals in the Premier League!,2133
2025-03-15,Head to the Matchday Live blog for all of the build-up,544
2025-03-15,Champions of all major cricket leagues,257
2025-03-15,,441
2025-03-15,"“ A broadcast show needs to talk about the game and not what I ate yesterday for lunch or my favourite chole bhature place in Delhi ” 

The fact that he reads everything and speaks only when he is asked to and when he does, it’s nothing but mic-drop.",812
2025-03-15,". It should be the main event. 

Yet all the focus on Sky will be on Celtic vs Rangers, Arsenal vs Chelsea and the cup final. The Steel City derby is on Sky Sports+",285
2025-03-15,,823
2025-03-15,,88
2025-03-15,Today marks the golden jubilee day of one of the greatest moments in Indian sport: our first and only World Cup hockey gold. Salute to Ajit Pal Singh sir and his iconic team. It was the age of the transistor: will never forget Jasdev Singh’s brilliant commentary when the final,299
2025-03-15,,403
2025-03-15,,403
2025-03-15,"Virat Kohli said, ""I think sport in general every child should take up according to me Because what sport can teach you within moments a lot of the other situations would teach you in a longer span.""",1115
2025-03-15,"Virat Kohli said, ""I think sport in general every child should take up according to me because what sport can teach you within moments -- a lot of the other situations would teach you in a longer span - because you have to adapt very quickly - you have to deal with",3780
2025-03-15,"Virat Kohli said - ""Cricket being part of the Olympics is a great chance for us, Coming back with a Medal will be a great thing for the team"". (PTI).",994
2025-03-15,,287
2025-03-15,,171
2025-03-15,"Honestly it’s soft that golfers need perfect silence to swing and concentrate 

MLB players hit 102 mph sliders while thousands of drunk fans scream and the stadium blasts music",234
2025-03-15,,173
2025-03-15,Morning all. Who’s excited about rugby &amp; F1 this weekend?,896
2025-03-15,"Virat Kohli said ""Don't get nervous - I am not making any announcements. As of now everything is fine - I still love playing this game"".",8401
2025-03-15,Virat Kohli talking about Sports University for students,638
2025-03-15,It’s a bit of both but Europeans are loud all the time! They watch football matches on a weekly basis and they are always loud!,516
2025-03-15,Virat Kohli talking about Sports University for students,638
2025-03-15,It’s a bit of both but Europeans are loud all the time! They watch football matches on a weekly basis and they are always loud!,516
2025-03-15,,1062
2025-03-15,,324
2025-03-15,,1844
2025-03-15,"Chak De! India (2007) is a sports drama about women's hockey, starring Shah Rukh Khan.",254
2025-03-15,Would you rather your club win the Champions League or your country win the World Cup?,643
2025-03-15,"is there a safe sport to root for? like low risk of heartbreak and apathy?

Car Racing? Golf?",381
2025-03-15,,239
2025-03-15,Would you rather your club win the Champions League or your country win the World Cup?,643
2025-03-15,"is there a safe sport to root for? like low risk of heartbreak and apathy?

Car Racing? Golf?",381
2025-03-15,,239
2025-03-15,"After watching Cricket for nearly 30 years, I try to answer this. 

New column. Tomorrow in HT Sunday edition.",237
2025-03-15,"We can’t enjoy anything 

Score a goal? Can’t celebrate
Win a game? Can’t celebrate
Dodgy red card? Can’t complain
Rage bait headlines? Can’t complain

It will blow over one day, but it’s so exhausting",393
2025-03-15,,180
